"3taps code","default?",,"city","state","loc_1","location 1","url","loc_2","location_2",,"Display City State","Display State",,"lat-long"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","nwc","northwest suburbs",,"Chicago IL","Illinois",,"(41.878114, -87.629798)"
"DEC",,,"US","illinois","decatur","decatur","decatur.craigslist.org",,,,"Decatur IL","Illinois",,"(39.840315, -88.9548)"
"ILZ",,,"US","illinois","lasalle","la salle co","lasalle.craigslist.org",,,,"La Salle Co IL","Illinois",,"(41.436399, -88.941386)"
"ILZ",,,"US","illinois","mattoon","mattoon-charleston","mattoon.craigslist.org",,,,"Mattoon-Charleston IL","Illinois",,"(39.48309, -88.372825)"
"PIA",,,"US","illinois","peoria","peoria","peoria.craigslist.org",,,,"Peoria IL","Illinois",,"(40.693649, -89.588986)"
"ILZ",,,"US","illinois","quincy","western IL","quincy.craigslist.org",,,,"Western IL","Illinois",,"(41.779753, -89.688997)"
"RFD",,,"US","illinois","rockford","rockford","rockford.craigslist.org",,,,"Rockford IL","Illinois",,"(42.271131, -89.093995)"
"SPI",,,"US","illinois","springfieldil","springfield","springfieldil.craigslist.org",,,,"Springfield IL","Illinois",,"(39.781721, -89.650148)"
"BMG",,,"US","indiana","bloomington","bloomington","bloomington.craigslist.org",,,,"Bloomington IN","Indiana",,"(40.484203, -88.993687)"
"EVV",,,"US","indiana","evansville","evansville","evansville.craigslist.org",,,,"Evansville IN","Indiana",,"(37.974764, -87.555848)"
"FWA",,,"US","indiana","fortwayne","fort wayne","fortwayne.craigslist.org",,,,"Fort Wayne IN","Indiana",,"(41.079273, -85.139351)"
"IPL",,,"US","indiana","indianapolis","indianapolis","indianapolis.craigslist.org",,,,"Indianapolis IN","Indiana",,"(39.768376, -86.158042)"
"GUS",,,"US","indiana","kokomo","kokomo","kokomo.craigslist.org",,,,"Kokomo IN","Indiana",,"(40.486427, -86.133603)"
"MIE",,,"US","indiana","muncie","muncie / anderson","muncie.craigslist.org",,,,"Muncie/Anderson IN","Indiana",,"(40.193377, -85.38636)"
"INZ",,,"US","indiana","richmondin","richmond","richmondin.craigslist.org",,,,"Richmond IN","Indiana",,"(39.828937, -84.890238)"
"SBN",,,"US","indiana","southbend","south bend / michiana","southbend.craigslist.org",,,,"South Bend/Michiana IN","Indiana",,"(41.683381, -86.250007)"
"INZ",,,"US","indiana","terrehaute","terre haute","terrehaute.craigslist.org",,,,"Terre Haute IN","Indiana",,"(39.466703, -87.413909)"
"LAF",,,"US","indiana","tippecanoe","lafayette / west lafayette","tippecanoe.craigslist.org",,,,"Lafayette/West Lafayette IN","Indiana",,"(40.416702, -86.875287)"
"AMW",,,"US","iowa","ames","ames","ames.craigslist.org",,,,"Ames IA","Iowa",,"(42.02335, -93.625622)"
"CID",,,"US","iowa","cedarrapids","cedar rapids","cedarrapids.craigslist.org",,,,"Cedar Rapids IA","Iowa",,"(41.962501, -91.691846)"
"DSM",,,"US","iowa","desmoines","des moines","desmoines.craigslist.org",,,,"Des Moines IA","Iowa",,"(41.600545, -93.609106)"
"DBQ",,,"US","iowa","dubuque","dubuque","dubuque.craigslist.org",,,,"Dubuque IA","Iowa",,"(42.500558, -90.664572)"
"IAZ",,,"US","iowa","fortdodge","fort dodge","fortdodge.craigslist.org",,,,"Fort Dodge IA","Iowa",,"(42.497469, -94.168016)"
"IOW",,,"US","iowa","iowacity","iowa city","iowacity.craigslist.org",,,,"Iowa City IA","Iowa",,"(41.661128, -91.530168)"
"IAZ",,,"US","iowa","masoncity","mason city","masoncity.craigslist.org",,,,"Mason City IA","Iowa",,"(43.153573, -93.201037)"
"IAZ",,,"US","iowa","ottumwa","southeast IA","ottumwa.craigslist.org",,,,"Southeast IA","Iowa",,"(41.007222, -91.965833)"
"MOL",,,"US","iowa","quadcities","quad cities","quadcities.craigslist.org",,,,"Quad Cities IA/IL","Illinois",,"(41.440373, -90.450237)"
"SUX",,,"US","iowa","siouxcity","sioux city","siouxcity.craigslist.org",,,,"Sioux City IA","Iowa",,"(42.499994, -96.400307)"
